id;name_ar;name_en;code;time_in_sec;pass_score;status
1;Borders Computer digital;facilitate;markets;14681;77378;62529
2;generate navigate generating;support;Frozen;45580;62997;48578
3;Cheese District productize;Metrics;Concrete Locks Burg;56027;71607;73402
4;Assistant Granite value-added;Shore Rustic Shirt;alarm harness;44384;2254;60423
5;Beauty core Guinea-Bissau;Spur protocol holistic;Savings;34938;92388;39687
6;Plastic infrastructure;bleeding-edge needs-based;Books SQL;97289;65733;36834
7;streamline;Small invoice;Shoes capability Practical;71117;11433;69719
8;Internal Concrete;Granite Progressive;Officer Unbranded protocol;54601;6284;84012
9;Loti;Pants Computers embrace;PCI Metal Home;49916;25683;97056
10;back-end Music;Islands AI;Global bandwidth;94928;71351;27859
